date,time,distance,cnt,pwm,uid
22/06/18,14:20:41,35,100,90,20
22/06/18,14:20:41,33,99,90,20
22/06/18,14:20:41,34,99,90,20
22/06/18,14:20:41,33,99,90,20
22/06/18,14:20:41,25,99,90,20
22/06/18,14:20:42,25,99,90,20
22/06/18,14:20:42,29,99,90,20
22/06/18,14:20:42,34,99,90,20
22/06/18,14:20:42,36,99,90,20
22/06/18,14:20:42,40,99,90,20
22/06/18,14:20:42,36,99,90,20
22/06/18,14:20:43,30,99,90,20
22/06/18,14:20:43,26,99,90,20
22/06/18,14:20:43,25,98,90,20
22/06/18,14:20:43,31,98,90,20
22/06/18,14:20:43,35,98,90,20
22/06/18,14:20:44,27,98,90,20
22/06/18,14:20:44,28,98,90,20
22/06/18,14:20:44,29,98,90,20
22/06/18,14:20:44,35,98,90,20
22/06/18,14:20:44,36,98,90,20
22/06/18,14:20:45,39,98,90,20
22/06/18,14:20:45,35,98,90,20
22/06/18,14:20:45,37,98,90,20
22/06/18,14:20:45,27,98,90,20
22/06/18,14:20:45,26,97,90,20
22/06/18,14:20:45,27,97,90,20
22/06/18,14:20:46,33,97,90,20
22/06/18,14:20:46,28,97,90,20
22/06/18,14:20:46,28,97,90,20
22/06/18,14:20:46,28,97,90,20
22/06/18,14:20:46,36,97,90,20
22/06/18,14:20:47,39,97,90,20
22/06/18,14:20:47,39,97,90,20
22/06/18,14:20:47,37,97,90,20
22/06/18,14:20:47,37,97,90,20
22/06/18,14:20:47,27,97,90,20
22/06/18,14:20:47,29,96,90,20
22/06/18,14:20:48,25,96,90,20
22/06/18,14:20:48,27,96,90,20
22/06/18,14:20:48,26,96,90,20
22/06/18,14:20:48,26,96,90,20
22/06/18,14:20:48,31,96,90,20
22/06/18,14:20:49,39,96,90,20
22/06/18,14:20:49,39,96,90,20
22/06/18,14:20:49,43,96,90,20
22/06/18,14:20:49,36,96,90,20
22/06/18,14:20:49,40,96,90,20
22/06/18,14:20:50,24,96,90,20
22/06/18,14:20:50,29,95,90,20
22/06/18,14:20:50,26,95,90,20
22/06/18,14:20:50,24,95,90,20
22/06/18,14:20:50,28,95,90,20
22/06/18,14:20:50,25,95,90,20
22/06/18,14:20:51,34,95,90,20
22/06/18,14:20:51,38,95,90,20
22/06/18,14:20:51,39,95,90,20
22/06/18,14:20:51,38,95,90,20
22/06/18,14:20:51,40,95,90,20
22/06/18,14:20:52,34,95,90,20
22/06/18,14:20:52,27,95,90,20
22/06/18,14:20:52,26,94,90,20
22/06/18,14:20:52,23,94,90,20
22/06/18,14:20:52,24,94,90,20
22/06/18,14:20:52,24,94,90,20
22/06/18,14:20:53,28,94,90,20
22/06/18,14:20:53,30,94,90,20
22/06/18,14:20:53,37,94,90,20
22/06/18,14:20:53,38,94,90,20
22/06/18,14:20:53,42,94,90,20
22/06/18,14:20:54,40,94,90,20
22/06/18,14:20:54,39,94,90,20
22/06/18,14:20:54,30,94,90,20
22/06/18,14:20:54,27,93,90,20
22/06/18,14:20:54,26,93,90,20
22/06/18,14:20:55,25,93,90,20
22/06/18,14:20:55,28,93,90,20
22/06/18,14:20:55,29,93,90,20
22/06/18,14:20:55,33,93,90,20
22/06/18,14:20:55,38,93,90,20
22/06/18,14:20:55,42,93,90,20
22/06/18,14:20:56,47,93,90,20
22/06/18,14:20:56,42,93,90,20
22/06/18,14:20:56,35,93,90,20
22/06/18,14:20:56,32,93,90,20
22/06/18,14:20:56,26,92,90,20
22/06/18,14:20:57,26,92,90,20
22/06/18,14:20:57,28,92,90,20
22/06/18,14:20:57,25,92,90,20
22/06/18,14:20:57,28,92,90,20
22/06/18,14:20:57,33,92,90,20
22/06/18,14:20:58,35,92,90,20
22/06/18,14:20:58,42,92,90,20
22/06/18,14:20:58,39,92,90,20
22/06/18,14:20:58,33,92,90,20
22/06/18,14:20:58,26,92,90,20
22/06/18,14:20:58,25,91,90,20
22/06/18,14:20:59,26,91,90,20
22/06/18,14:20:59,31,91,90,20
22/06/18,14:20:59,24,91,90,20
22/06/18,14:20:59,27,91,90,20
22/06/18,14:20:59,31,91,90,20
22/06/18,14:21:00,32,91,90,20
22/06/18,14:21:00,40,91,90,20
