date,time,distance,cnt,pwm,uid,,,,,,
22/04/29,14:51:01,38,91,90,88,,,,,,
22/04/29,14:51:01,35,91,90,88,,,,,,
22/04/29,14:51:01,30,91,90,88,,,,,,
22/04/29,14:51:02,25,90,90,88,,,,,,
22/04/29,14:51:02,22,90,91,88,,,,,,
22/04/29,14:51:02,24,90,90,88,,,,,,
22/04/29,14:51:02,21,90,90,88,,,,,,
22/04/29,14:51:02,27,90,90,88,,,,,,
22/04/29,14:51:02,32,90,90,88,,,,,,
22/04/29,14:51:03,39,90,90,88,,,,,,
22/04/29,14:51:03,42,90,90,88,,,,,,
22/04/29,14:51:03,43,90,90,88,,,,,,
22/04/29,14:51:03,48,90,90,88,,,,,,
22/04/29,14:51:03,44,90,90,88,,,,,,
22/04/29,14:51:04,41,90,90,88,,,,,,
22/04/29,14:51:04,37,90,90,88,,,,,,
22/04/29,14:51:04,29,90,90,88,,,,,,
22/04/29,14:51:04,26,90,90,88,,,,,,
22/04/29,14:51:04,21,89,90,88,,,,,,
22/04/29,14:51:05,29,89,90,88,,,,,,
22/04/29,14:51:05,31,89,90,88,,,,,,
22/04/29,14:51:05,21,89,90,88,,,,,,
22/04/29,14:51:05,26,89,90,88,,,,,,
22/04/29,14:51:05,31,89,90,88,,,,,,
22/04/29,14:51:05,36,89,90,88,,,,,,
22/04/29,14:51:06,42,89,90,88,,,,,,
22/04/29,14:51:06,44,89,90,88,,,,,,
22/04/29,14:51:06,44,89,91,88,,,,,,
22/04/29,14:51:06,44,89,90,88,,,,,,
22/04/29,14:51:06,38,89,90,88,,,,,,
22/04/29,14:51:07,34,89,90,88,,,,,,
22/04/29,14:51:07,29,89,90,88,,,,,,
22/04/29,14:51:07,25,88,90,88,,,,,,
22/04/29,14:51:07,22,88,90,88,,,,,,
22/04/29,14:51:07,28,88,90,88,,,,,,
22/04/29,14:51:08,21,88,90,88,,,,,,
22/04/29,14:51:08,24,88,90,88,,,,,,
22/04/29,14:51:08,32,88,90,88,,,,,,
22/04/29,14:51:08,36,88,90,88,,,,,,
22/04/29,14:51:08,40,88,91,88,,,,,,
22/04/29,14:51:08,44,88,90,88,,,,,,
22/04/29,14:51:09,45,88,90,88,,,,,,
22/04/29,14:51:09,44,88,90,88,,,,,,
22/04/29,14:51:09,37,88,90,88,,,,,,
22/04/29,14:51:09,36,88,90,88,,,,,,
22/04/29,14:51:09,28,88,90,88,,,,,,
22/04/29,14:51:10,23,87,90,88,,,,,,
22/04/29,14:51:10,23,87,90,88,,,,,,
22/04/29,14:51:10,27,87,91,88,,,,,,
22/04/29,14:51:10,22,87,90,88,,,,,,
22/04/29,14:51:10,21,87,90,88,,,,,,
22/04/29,14:51:11,33,87,90,88,,,,,,
22/04/29,14:51:11,36,87,90,88,,,,,,
22/04/29,14:51:11,38,87,90,88,,,,,,
22/04/29,14:51:11,48,87,90,88,,,,,,
22/04/29,14:51:11,49,87,91,88,,,,,,
22/04/29,14:51:11,45,87,90,88,,,,,,
22/04/29,14:51:12,38,87,90,88,,,,,,
22/04/29,14:51:12,37,87,90,88,,,,,,
22/04/29,14:51:12,33,87,90,88,,,,,,
22/04/29,14:51:12,24,86,90,88,,,,,,
22/04/29,14:51:12,21,86,90,88,,,,,,
22/04/29,14:51:13,23,86,90,88,,,,,,
22/04/29,14:51:13,24,86,90,88,,,,,,
22/04/29,14:51:13,27,86,90,88,,,,,,
22/04/29,14:51:13,36,86,90,88,,,,,,
22/04/29,14:51:13,37,86,90,88,,,,,,
22/04/29,14:51:14,40,86,91,88,,,,,,
22/04/29,14:51:14,43,86,91,88,,,,,,
22/04/29,14:51:14,39,86,90,88,,,,,,
22/04/29,14:51:14,36,86,90,88,,,,,,
22/04/29,14:51:14,31,86,90,88,,,,,,
22/04/29,14:51:14,24,86,90,88,,,,,,
22/04/29,14:51:15,22,85,90,88,,,,,,
22/04/29,14:51:15,23,85,90,88,,,,,,
22/04/29,14:51:15,22,85,91,88,,,,,,
22/04/29,14:51:15,20,85,90,88,,,,,,
22/04/29,14:51:15,28,85,90,88,,,,,,
22/04/29,14:51:16,30,85,90,88,,,,,,
22/04/29,14:51:16,35,85,90,88,,,,,,
22/04/29,14:51:16,37,85,90,88,,,,,,
22/04/29,14:51:16,44,85,91,88,,,,,,
22/04/29,14:51:16,43,85,90,88,,,,,,
22/04/29,14:51:17,42,85,90,88,,,,,,
22/04/29,14:51:17,37,85,90,88,,,,,,
22/04/29,14:51:17,35,85,90,88,,,,,,
22/04/29,14:51:17,27,85,90,88,,,,,,
22/04/29,14:51:17,24,84,90,88,,,,,,
22/04/29,14:51:17,17,84,90,88,,,,,,
22/04/29,14:51:18,25,84,91,88,,,,,,
22/04/29,14:51:18,22,84,91,88,,,,,,
22/04/29,14:51:18,26,84,90,88,,,,,,
22/04/29,14:51:18,32,84,90,88,,,,,,
22/04/29,14:51:18,35,84,90,88,,,,,,
22/04/29,14:51:19,35,84,91,88,,,,,,
22/04/29,14:51:19,46,84,90,88,,,,,,
22/04/29,14:51:19,49,84,90,88,,,,,,
22/04/29,14:51:19,46,84,90,88,,,,,,
22/04/29,14:51:19,40,84,90,88,,,,,,
22/04/29,14:51:20,36,84,90,88,,,,,,
22/04/29,14:51:20,29,84,90,88,,,,,,
22/04/29,14:51:20,24,83,90,88,,,,,,
22/04/29,14:51:20,24,83,90,88,,,,,,
22/04/29,14:51:20,19,83,91,88,,,,,,
22/04/29,14:51:21,25,83,90,88,,,,,,
22/04/29,14:51:21,29,83,90,88,,,,,,
22/04/29,14:51:21,33,83,90,88,,,,,,
22/04/29,14:51:21,38,83,90,88,,,,,,
22/04/29,14:51:21,43,83,91,88,,,,,,
22/04/29,14:51:21,43,83,90,88,,,,,,
22/04/29,14:51:22,39,83,90,88,,,,,,
22/04/29,14:51:22,35,83,90,88,,,,,,
22/04/29,14:51:22,32,83,90,88,,,,,,
22/04/29,14:51:22,28,83,90,88,,,,,,
22/04/29,14:51:22,21,82,90,88,,,,,,
22/04/29,14:51:23,25,82,90,88,,,,,,
22/04/29,14:51:23,21,82,91,88,,,,,,
22/04/29,14:51:23,24,82,91,88,,,,,,
22/04/29,14:51:23,25,82,90,88,,,,,,
22/04/29,14:51:23,31,82,90,88,,,,,,
22/04/29,14:51:24,37,82,91,88,,,,,,
22/04/29,14:51:24,37,82,90,88,,,,,,
22/04/29,14:51:24,41,82,90,88,,,,,,
22/04/29,14:51:24,49,82,90,88,,,,,,
22/04/29,14:51:24,44,82,90,88,,,,,,
22/04/29,14:51:24,38,82,90,88,,,,,,
22/04/29,14:51:25,33,82,90,88,,,,,,
22/04/29,14:51:25,31,82,90,88,,,,,,
